day,price
2018-09-18,8.28
2018-09-04,8.15
2018-08-24,8.0
2018-08-21,8.09
2018-08-08,8.04
2018-07-27,7.98
2018-07-12,8.09
2018-07-02,7.86
2018-06-12,7.91
2018-05-30,8.02
2018-05-14,7.8
2018-05-02,7.65
2018-04-27,7.71
2018-04-16,7.5
2018-03-29,7.45
2018-03-02,7.34
2018-03-01,7.56
2018-02-28,7.34
2018-02-27,7.56
2018-02-24,7.34
2018-02-23,7.56
2018-02-22,7.56
2018-02-21,7.56
2018-02-20,7.34
2018-02-19,7.56
2018-02-17,7.34
2018-02-16,7.34
2018-02-15,7.56
2018-02-14,7.56
2018-02-13,7.56
2018-02-10,7.34
2018-02-09,7.56
2018-02-08,7.56
2018-02-07,7.56
2018-02-06,7.56
2018-02-05,7.34
2018-02-03,7.34
2018-02-02,7.56
2018-02-01,7.56
2018-01-31,7.56
2018-01-30,7.56
2018-01-29,7.34
2018-01-27,7.34
2018-01-26,7.56
2018-01-10,7.34
2017-12-13,7.34
2017-12-12,7.34
2017-12-11,7.34
2017-12-09,7.34
2017-12-08,7.34
2017-12-07,7.34
2017-12-06,7.34
2017-12-05,7.34
2017-12-04,7.34
2017-12-02,7.34
2017-12-01,7.34
2017-11-30,7.34
2017-11-29,7.34
2017-11-28,7.34
2017-11-27,7.34
2017-11-25,7.34
2017-11-24,7.34
2017-11-23,7.34
2017-11-22,7.12
2017-11-21,7.34
2017-11-20,7.12
2017-11-18,7.34
2017-11-17,7.34
2017-11-16,7.12
2017-11-15,7.12
2017-11-13,7.12
2017-10-12,6.99
2017-09-19,6.81
2017-08-09,6.73
2017-07-25,6.58
2017-06-27,6.52
2017-06-13,6.73
2017-05-31,6.89
2017-05-12,6.77
2017-04-19,6.98
2017-03-15,7.0
2017-02-20,7.08
2016-12-29,6.89
2016-12-15,6.43
2016-11-17,6.29
2016-10-20,6.6
2016-09-22,6.29
2016-09-07,6.43
2016-08-22,6.25
2016-08-05,6.1
2016-07-22,6.33
2016-07-21,6.33
2016-07-20,6.33
2016-07-19,6.33
2016-07-18,6.33
2016-07-17,6.33
2016-07-16,6.33
2016-07-15,6.33
2016-07-14,6.33
2016-07-13,6.33
2016-07-12,6.33
2016-07-11,6.33
2016-07-10,6.33
2016-07-09,6.33
2016-07-08,6.33
2016-07-07,6.33
2016-07-06,6.33
2016-07-05,6.33
2016-07-04,6.33
2016-07-03,6.33
2016-07-02,6.33
2016-07-01,6.33
2016-06-30,6.33
2016-06-29,6.33
2016-06-28,6.33
2016-06-27,6.42
2016-06-20,6.05
2016-06-17,6.05
2016-06-16,6.15
2016-06-15,6.05
2016-06-14,6.33
2016-06-13,6.15
2016-06-09,6.05
2016-06-08,6.15
2016-06-07,6.05
2016-06-06,6.15
2016-06-03,6.15
2016-06-02,6.15
2016-05-31,6.05
2016-05-30,6.15
2016-05-29,6.15
2016-05-27,6.33
2016-05-17,6.15
2016-04-29,6.05
2016-01-14,5.91
2015-12-03,6.03
2015-11-18,6.15
2015-11-04,6.22
2015-10-21,6.33
2015-09-17,6.29
2015-09-02,6.21
2015-08-19,6.31
2015-08-05,6.49
2015-07-22,6.68
2015-06-09,6.99
2015-05-12,7.08
2015-04-27,6.86
2015-04-11,6.61
2015-03-27,6.51
2015-02-28,6.71
2015-02-10,6.38
2015-02-03,6.13
2014-12-29,6.6
2014-12-15,7.04
2014-11-17,7.18
2014-11-03,7.34
2014-10-20,7.55
2014-08-19,8.1
2014-07-22,8.26
2014-06-24,8.47
2014-02-27,8.3
2014-01-06,7.91
2013-11-15,7.91
2013-10-08,8.11
2013-09-16,8.31
2013-08-31,8.04
2013-07-22,8.04
2013-07-10,7.76
2013-06-07,7.74
2013-05-10,7.71
2013-04-25,7.63
2013-03-27,7.97
2013-02-25,7.98
2012-11-16,7.98
2012-09-11,8.24
2012-09-05,7.78
